file_name,sample_file_name,sample_type,x_min,y_min,x_max,y_max
20240126 4 chips_Porous flat_Slide_A_Analyte 1_1,1_flat_porous_substrate-r,replica,0,1,77,76
20240126 4 chips_Porous porous sub_Slide_A_Analyte 1_1,1_porous_nNs_with_porous_substrate-r,replica,0,1,76,76
20240126 4 chips_Porous_Slide_A_Analyte 1_1,1_porous_nNs-r,replica,0,1,77,81
20240126 4 chips_Solid_Slide_A_Analyte 1_1,1_solid_nNs-r,replica,0,1,79,80
20240125 4 chips tissue_Slide_A_Analyte 1_1,1_tissue_section-s,section,0,1,79,78
20240128 4chips_porous flat sub_Slide_A_Analyte 1_1,2_flat_porous_substrate-r,replica,0,1,71,81
20240128 4chips_porous porous sub_Slide_A_Analyte 1_1,2_porous_nNs_with_porous_substrate-r,replica,0,1,74,79
20240128 4chips_porous_Slide_A_Analyte 1_1,2_porous_nNs-r,replica,0,1,77,77
20240128 4chips_solid_Slide_A_Analyte 1_1,2_solid_nNs-r,replica,0,1,73,71
20240128 4chips_tissue_Slide_A_Analyte 1_1,2_tissue_section-s,section,0,1,69,82
20240202 4chips_porous flat_Slide_A_Analyte 1_1,3_flat_porous_substrate-r,replica,0,1,80,83
20240202 4chips_porous nNs porous sub_Slide_A_Analyte 1_1,3_porous_nNs_with_porous_substrate-r,replica,0,1,81,81
20240202 4chips_porous nNs_Slide_A_Analyte 1_1,3_porous_nNs-r,replica,0,1,76,78
20240202 4chips_solid nNs_Slide_A_Analyte 1_1,3_solid_nNs-r,replica,0,1,75,76
20240202 4chips_tissue_Slide_A_Analyte 1_1,3_tissue_section-s,section,0,1,75,80
