PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,303.25,0.47077048,0.47077048
PC1,255.2375,0.12908098,0.5998515
PC2,255.25,0.057356954,0.65720844
PC3,351.025,0.034658022,0.69186646
PC4,146.975,0.026594467,0.7184609
PC5,303.2375,0.011271581,0.7297325
PC6,303.2375,0.007870103,0.7376026
PC7,146.975,0.0057916692,0.74339426
PC8,146.975,0.0030470192,0.74644125
PC9,351.0375,0.0023191231,0.74876034
PC10,265.1625,0.0020503546,0.7508107
PC11,255.25,0.0016811326,0.75249183
PC12,265.1625,0.0015493114,0.75404114
PC13,201.05,0.0014047347,0.7554459
PC14,201.05,0.0009666293,0.7564125
PC15,201.05,0.0009031899,0.7573157
PC16,281.2625,0.00081575266,0.75813144
PC17,325.2,0.0007556459,0.7588871
PC18,174.0125,0.000731801,0.75961894
PC19,339.2125,0.0007158461,0.7603348
PC20,283.275,0.00066139415,0.76099616
PC21,283.275,0.00059956353,0.7615957
PC22,283.275,0.0005537063,0.76214945
PC23,147.0,0.00047207842,0.7626215
PC24,147.0,0.00046075095,0.76308227
PC25,146.9875,0.00043903114,0.7635213
PC26,311.175,0.00041388258,0.7639352
PC27,335.05,0.0004031868,0.7643384
PC28,293.1875,0.00039406016,0.7647324
PC29,309.1875,0.00037294257,0.76510537
PC30,293.1875,0.00035709093,0.76546246
PC31,309.1875,0.00034429613,0.76580673
PC32,283.2875,0.00034310622,0.7661498
PC33,241.2375,0.00033338866,0.7664832
PC34,89.0375,0.00031879565,0.766802
PC35,89.0375,0.00031736374,0.76711935
PC36,283.2875,0.00030975568,0.7674291
PC37,227.2125,0.00029903866,0.76772815
PC38,256.25,0.00029368233,0.7680218
PC39,256.25,0.00028871617,0.76831055
PC40,201.0375,0.00027978653,0.76859033
PC41,297.175,0.00027404563,0.7688644
PC42,253.225,0.00027227734,0.76913667
PC43,269.2625,0.0002635563,0.76940024
PC44,253.225,0.00026082172,0.76966107
PC45,353.2125,0.00025741634,0.7699185
PC46,353.225,0.0002555986,0.7701741
PC47,241.225,0.00025430214,0.77042836
PC48,265.175,0.00025072607,0.77067906
PC49,326.2,0.00024382377,0.7709229
PC50,293.2,0.00024246464,0.7711654
PC51,326.2,0.00023286002,0.77139825
PC52,148.9875,0.0002281711,0.7716264
PC53,89.025,0.00022468838,0.7718511
PC54,293.2,0.00022391605,0.77207506
PC55,309.2,0.00022017356,0.77229524
PC56,89.025,0.00021701588,0.77251226
PC57,137.05,0.00021654062,0.7727288
PC58,172.8375,0.00020888091,0.77293766
PC59,253.2375,0.00020589882,0.77314353
PC60,297.1625,0.0002047486,0.7733483
PC61,170.8375,0.0002019374,0.7735502
PC62,172.8375,0.00019827626,0.7737485
PC63,234.9875,0.00019697174,0.7739455
PC64,253.2375,0.00019225247,0.77413774
PC65,312.1875,0.00019115944,0.7743289
PC66,340.2125,0.00018715602,0.77451605
PC67,340.2125,0.00018468894,0.77470076
PC68,164.025,0.00018009183,0.7748808
PC69,266.1625,0.00017737849,0.7750582
PC70,174.0,0.00017672213,0.77523494
PC71,266.1625,0.00017490279,0.7754098
PC72,266.1625,0.00017311257,0.7755829
PC73,174.025,0.00017025384,0.77575314
PC74,337.2125,0.00016797581,0.7759211
PC75,337.2125,0.00016688397,0.776088
PC76,309.175,0.00016332579,0.7762513
PC77,340.225,0.00016267697,0.776414
PC78,340.225,0.00016071016,0.7765747
