PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,311.1625,0.59032357,0.59032357
PC1,146.9625,0.04957494,0.63989854
PC2,96.9625,0.027847292,0.6677458
PC3,96.9625,0.011920479,0.6796663
PC4,217.05,0.00817886,0.6878451
PC5,209.95,0.0061566844,0.6940018
PC6,209.95,0.0038468244,0.6978486
PC7,311.1625,0.00292032,0.70076895
PC8,146.9625,0.0023631053,0.70313203
PC9,311.1625,0.0022275348,0.7053596
PC10,325.175,0.0019114845,0.70727104
PC11,325.1875,0.0018456271,0.70911664
PC12,325.175,0.0018322662,0.7109489
PC13,146.975,0.0016097943,0.7125587
PC14,339.1875,0.0015906557,0.71414936
PC15,325.1625,0.00141314,0.7155625
PC16,311.175,0.0013794665,0.716942
PC17,339.2,0.001253683,0.7181957
PC18,265.1375,0.0011884073,0.7193841
PC19,339.2125,0.0011051011,0.7204892
PC20,339.175,0.0010965968,0.7215858
PC21,311.1875,0.0010713757,0.7226572
PC22,255.225,0.001023601,0.7236808
PC23,311.1875,0.0009737687,0.72465456
PC24,297.15,0.00093008566,0.7255846
PC25,297.15,0.00089125795,0.7264759
PC26,325.2,0.00086500746,0.7273409
PC27,283.2625,0.0007631502,0.72810405
PC28,174.0,0.0007282197,0.72883224
PC29,297.1375,0.0006839252,0.72951615
PC30,265.15,0.0006769553,0.7301931
PC31,283.275,0.0006253708,0.73081845
PC32,248.075,0.0006181885,0.7314366
PC33,283.275,0.00060416496,0.73204076
PC34,326.175,0.0005808716,0.7326216
PC35,181.9875,0.0005714831,0.7331931
PC36,326.175,0.0005542138,0.7337473
PC37,265.1625,0.0005234319,0.73427075
PC38,265.1625,0.0005150008,0.73478574
PC39,255.25,0.00049273495,0.7352785
PC40,255.25,0.00047555595,0.7357541
PC41,339.225,0.0004658366,0.7362199
PC42,309.175,0.00046231606,0.7366822
PC43,309.175,0.00044259065,0.73712474
PC44,146.9875,0.00043606196,0.7375608
PC45,297.1625,0.0004302298,0.73799103
PC46,325.2125,0.0004275511,0.7384186
PC47,309.175,0.00040951036,0.73882806
PC48,325.2125,0.00040720354,0.7392353
PC49,340.1875,0.00039757407,0.73963284
PC50,340.2,0.0003944966,0.74002737
PC51,248.0625,0.00039144317,0.7404188
PC52,255.2125,0.00038373965,0.7408025
PC53,255.2125,0.00037393146,0.7411765
PC54,326.1875,0.00036796895,0.7415444
PC55,309.1625,0.00036150598,0.7419059
PC56,265.125,0.00035209148,0.742258
PC57,312.15,0.0003452974,0.7426033
PC58,293.1625,0.00034431228,0.74294764
PC59,309.1625,0.00033731066,0.74328494
