PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,1097.3875,0.054286625,0.054286625
PC1,311.1625,0.038864672,0.0931513
PC2,311.1125,0.037253056,0.13040435
PC3,1047.15,0.036332373,0.16673672
PC4,102.3,0.034953054,0.20168978
PC5,662.8,0.030073121,0.2317629
PC6,774.5875,0.027549474,0.25931236
PC7,273.0,0.025341375,0.28465372
PC8,421.2375,0.020123754,0.30477747
PC9,421.2375,0.018692909,0.32347038
PC10,933.3875,0.01866373,0.34213412
PC11,309.175,0.017618265,0.3597524
PC12,467.9625,0.017357396,0.3771098
PC13,230.8875,0.015649952,0.39275974
PC14,174.05,0.013045563,0.4058053
PC15,311.1875,0.011937663,0.41774297
PC16,255.225,0.009496781,0.42723975
PC17,340.1875,0.0094315205,0.43667126
PC18,515.4,0.009032416,0.4457037
PC19,131.3375,0.008305483,0.45400918
PC20,146.9625,0.007744047,0.46175322
PC21,199.1875,0.007363836,0.46911705
PC22,325.1875,0.007242751,0.47635978
PC23,809.1,0.0069371397,0.48329693
PC24,325.1875,0.0066119605,0.4899089
PC25,867.4125,0.006447886,0.4963568
PC26,1098.8875,0.006201659,0.50255847
PC27,249.1,0.0061060307,0.5086645
PC28,339.2125,0.006046151,0.51471066
PC29,1098.8875,0.0059398767,0.52065057
PC30,309.2,0.005879593,0.52653015
PC31,248.0875,0.0056084795,0.53213865
PC32,339.2,0.005548459,0.5376871
PC33,609.525,0.0053183543,0.54300547
PC34,325.175,0.005241819,0.5482473
PC35,339.1875,0.005183877,0.55343115
PC36,325.2,0.005052902,0.5584841
PC37,255.2375,0.0048749447,0.563359
PC38,311.175,0.0048438883,0.5682029
PC39,255.2375,0.004817125,0.57302004
PC40,298.175,0.004679787,0.57769984
PC41,499.1625,0.00458567,0.5822855
PC42,499.1625,0.004576548,0.5868621
PC43,499.1625,0.00448547,0.5913476
PC44,174.0375,0.0043888846,0.59573644
PC45,1111.9,0.0043566525,0.6000931
PC46,227.2125,0.004224062,0.6043172
PC47,96.9625,0.0041633327,0.6084805
PC48,311.1875,0.0040733176,0.61255383
PC49,283.275,0.0040321955,0.616586
PC50,60.8,0.0039669876,0.620553
PC51,297.1625,0.003959062,0.6245121
PC52,311.1875,0.0039343317,0.6284464
PC53,675.9625,0.003872279,0.6323187
PC54,248.075,0.003820726,0.6361394
PC55,255.2375,0.003745675,0.63988507
PC56,248.075,0.0036517861,0.64353687
PC57,311.1875,0.0036196078,0.6471565
PC58,708.875,0.0035985436,0.65075505
PC59,265.175,0.0035094854,0.6542645
PC60,339.2,0.0034431964,0.6577077
PC61,283.275,0.0033481827,0.66105586
PC62,297.15,0.003311131,0.664367
PC63,367.25,0.003283483,0.6676505
PC64,265.1375,0.003246403,0.67089695
PC65,89.0375,0.0032151497,0.6741121
PC66,89.025,0.0031172563,0.67722934
PC67,249.1125,0.0030756819,0.680305
PC68,255.225,0.0030382813,0.6833433
PC69,339.2,0.0029954147,0.6863387
PC70,339.2125,0.002958392,0.68929714
PC71,89.025,0.0029144874,0.6922116
PC72,89.0375,0.0028669003,0.69507855
PC73,339.2,0.0028516143,0.69793016
PC74,618.4625,0.0027625663,0.7006927
PC75,340.0875,0.002724888,0.7034176
PC76,283.25,0.0026775424,0.70609516
PC77,309.1875,0.0026525785,0.70874774
PC78,340.0875,0.002620491,0.71136826
PC79,325.2,0.0025783973,0.71394664
PC80,311.2,0.0025296074,0.71647626
PC81,325.2125,0.002489105,0.71896535
