PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,265.1625,0.6745781,0.6745781
PC1,187.05,0.15365793,0.828236
PC2,311.1875,0.030106364,0.85834235
PC3,126.9125,0.018924639,0.877267
PC4,146.975,0.012888388,0.8901554
PC5,255.25,0.009616145,0.8997715
PC6,146.975,0.007068054,0.90683955
PC7,303.25,0.0046348795,0.9114744
PC8,255.25,0.0036980228,0.91517246
PC9,249.175,0.0023348595,0.9175073
PC10,113.0,0.0021970335,0.9197043
PC11,283.275,0.0012901649,0.92099446
PC12,227.0125,0.000798402,0.92179286
PC13,283.275,0.00077586743,0.92256874
PC14,162.85,0.00068462954,0.92325336
PC15,174.0125,0.00066277274,0.9239161
PC16,175.0375,0.0006254883,0.9245416
PC17,174.0125,0.00054596364,0.9250876
PC18,325.2,0.0004979444,0.9255855
PC19,175.0375,0.0004580817,0.92604357
PC20,161.075,0.00044251114,0.9264861
PC21,227.0125,0.00040376282,0.92688984
PC22,283.275,0.0003863147,0.92727613
PC23,325.2,0.0003749837,0.9276511
PC24,283.275,0.00033725472,0.92798835
PC25,283.275,0.00032408384,0.9283124
PC26,325.2,0.0003194077,0.92863184
PC27,269.2625,0.0002956168,0.9289275
PC28,339.225,0.00029261786,0.9292201
PC29,339.2125,0.00028807335,0.92950815
PC30,161.075,0.00028232593,0.9297905
PC31,265.175,0.00027544273,0.93006593
PC32,174.0125,0.00026769546,0.9303336
PC33,161.075,0.00025625314,0.93058985
PC34,174.0125,0.00025178876,0.9308416
PC35,293.2,0.00024843524,0.93109006
PC36,339.2125,0.0002444695,0.93133456
PC37,325.2,0.00023936229,0.9315739
PC38,325.2125,0.00023275231,0.9318067
PC39,187.0625,0.00023241025,0.9320391
PC40,174.0125,0.00022726718,0.93226635
PC41,325.2,0.00022084125,0.9324872
PC42,172.8375,0.00021794374,0.9327051
PC43,187.0625,0.00021598735,0.9329211
PC44,339.2125,0.0002123726,0.9331335
PC45,293.2,0.00020969247,0.9333432
PC46,227.0125,0.00020399666,0.93354714
PC47,309.1875,0.00019979753,0.93374693
PC48,309.1875,0.00019754864,0.93394446
PC49,297.175,0.0001959016,0.9341404
PC50,187.0625,0.00019412146,0.9343345
PC51,161.075,0.00018745723,0.934522
